,magnitude,ra_degrees,dec_degrees,parallax_mas,ra_mas_per_year,dec_mas_per_year,ra_hours,epoch_year,constellation
83574,4.83,256.20562945,-34.12292247,1.22,1.98,-3.2,17.080375296666666,1991.25,Scorpius
83608,4.91,256.3340928,54.46986308,37.08,-66.0,73.86,17.08893952,1991.25,Draco
83613,4.89,256.34441753,12.74085469,22.68,50.63,-11.02,17.08962783533333,1991.25,Hercules
83895,3.17,257.19677111,65.71463676,9.6,-20.76,19.15,17.146451407333334,1991.25,Draco
84012,2.43,257.59442659,-15.72514757,38.77,41.16,97.65,17.172961772666667,1991.25,Ophiucus
84143,3.32,258.038233,-43.23849039,45.56,22.01,-287.41,17.202548866666667,1991.25,Scorpius
84345,2.78,258.66192687,14.39025314,8.53,-6.71,32.78,17.244128458,1991.25,Hercules
84379,3.12,258.75801735,24.83958739,41.55,-21.14,-157.68,17.25053449,1991.25,Hercules
84380,3.16,258.76189282,36.80915527,8.89,-27.35,2.7,17.250792854666667,1991.25,Hercules
84405,4.33,258.83869698,-26.60004896,167.08,-473.69,-1143.93,17.255913132,1991.25,Ophiucus
84514,4.72,259.15294004,-0.44514192,14.97,-33.09,-63.92,17.276862669333333,1991.25,Ophiucus
84573,4.8,259.33154372,33.10011419,3.77,-3.68,-5.74,17.288769581333334,1991.25,Hercules
84606,4.64,259.41785775,37.29134328,18.34,-42.74,63.76,17.29452385,1991.25,Hercules
84880,4.32,260.2068148,-12.846882,16.86,42.75,2.72,17.347120986666667,1991.25,Serpens
84893,4.39,260.25087615,-21.11243499,57.48,262.01,-204.74,17.35005841,1991.25,Ophiucus
84969,4.76,260.49806157,-67.7706496,10.46,-37.1,-7.78,17.366537438,1991.25,Apus
84970,3.27,260.50243371,-24.99948797,5.79,-8.84,-23.64,17.366828914,1991.25,Ophiucus
85112,4.15,260.92072033,37.14592396,8.12,-38.58,9.19,17.394714688666667,1991.25,Hercules
85258,2.84,261.32498828,-55.52982397,5.41,-8.23,-24.71,17.421665885333333,1991.25,Ara
85267,3.31,261.34858274,-56.37768824,2.87,-0.77,-15.85,17.423238849333334,1991.25,Ara
85340,4.16,261.59257241,-24.17502346,38.96,-1.97,-117.69,17.439504827333334,1991.25,Ophiucus
85355,4.34,261.62866503,4.14034239,2.78,1.25,7.09,17.441911001999998,1991.25,Ophiucus
85365,4.53,261.65806271,-5.08649188,33.28,-91.53,-42.75,17.443870847333336,1991.25,Ophiucus
85423,4.28,261.8386001,-29.86669942,29.26,14.38,-137.41,17.455906673333335,1991.25,Ophiucus
85670,2.79,262.60823708,52.30135901,9.02,-15.59,11.57,17.50721580533333,1991.25,Draco
85693,4.41,262.68457505,26.1106045,8.88,18.39,16.78,17.51230500333333,1991.25,Hercules
85696,2.7,262.69099501,-37.29574016,6.29,-4.19,-29.14,17.512733000666667,1991.25,Scorpius
85727,3.6,262.77490395,-60.68360667,17.42,-53.65,-99.37,17.51832693,1991.25,Ara
